address,isHostedBySuperhost,location/lat,location/lng,name,numberOfGuests,pricing/rate/amountFormatted,pricing/rate/currency,pricing/rateType,primaryHost/badges/0,primaryHost/firstName,primaryHost/hasProfilePic,primaryHost/hostUrl,primaryHost/id,primaryHost/memberSince,primaryHost/pictureUrl,primaryHost/responseRate,primaryHost/responseTime,primaryHost/smartName,roomType,stars,url,price
"Karachi, Sindh, Pakistan",No,24.96846,67.17139,02 bedroom with attached bathrooms and kitchen,4.0,$46,USD,nightly,Identity verified,Imran,1.0,https://www.airbnb.com/users/show/433013230,433013230.0,Joined in November 2021,https://a0.muscache.com/im/pictures/user/6f5b30f6-9f5d-489b-b150-8b24dc601981.jpg?aki_policy=profile_large,0.0,a few days or more,Imran,Private room,4.775,https://www.airbnb.com/rooms/53473830,46.0
"Lahore, Punjab, Pakistan",No,31.51961,74.4623,03200409962 2000per day I hv 3 rooms,2.0,$17,USD,nightly,Identity verified,Sami,1.0,https://www.airbnb.com/users/show/307870190,307870190.0,Joined in November 2019,https://a0.muscache.com/im/pictures/user/6b236c60-ab2b-4416-bf07-ac003697f982.jpg?aki_policy=profile_large,0.0,a few days or more,Sami,Private room ,4.775,https://www.airbnb.com/rooms/41581524,17.0
"Rawalpindi, Punjab, Pakistan",No,33.55592,73.11811,1 Bed Apartment,3.0,$24,USD,nightly,,Usman,1.0,https://www.airbnb.com/users/show/314481994,314481994.0,Joined in December 2019,https://a0.muscache.com/im/pictures/user/3dd71c8d-56ab-426c-aedc-70545692cb75.jpg?aki_policy=profile_large,,,Usman,Entire place,4.775,https://www.airbnb.com/rooms/40585949,24.0
"Lahore, Punjab, Pakistan",No,31.44094,74.28388,1 Bed Brand New Corner Apartment,2.0,$16,USD,nightly,171 Reviews,Saqib,1.0,https://www.airbnb.com/users/show/40666245,40666245.0,Joined in August 2015,https://a0.muscache.com/im/pictures/user/9fae2040-9168-4aab-b254-ab2fa9af0ec0.jpg?aki_policy=profile_large,1.0,within an hour,Saqib,Entire place,4.92,https://www.airbnb.com/rooms/50699776,16.0
"Islamabad, Islamabad Capital Territory, Pakistan",No,33.68093,72.98794,1 Bed designer apartment in posh area of Islamabad,2.0,$63,USD,nightly,2 Reviews,Alee,1.0,https://www.airbnb.com/users/show/196719847,196719847.0,Joined in June 2018,https://a0.muscache.com/im/pictures/user/07c25942-5f25-4f94-bce9-fde2214004ca.jpg?aki_policy=profile_large,0.75,within an hour,Alee,Entire place,4.775,https://www.airbnb.com/rooms/45720232,63.0
"Lahore, Punjab, Pakistan",No,31.37243,74.18507,1 bed Fully furnished apartment in Sector C,4.0,$37,USD,nightly,Identity verified,Momin,1.0,https://www.airbnb.com/users/show/421231999,421231999.0,Joined in September 2021,https://a0.muscache.com/im/pictures/user/db592bdd-9d6c-4bd4-a324-b53e00a16750.jpg?aki_policy=profile_large,,,Momin,Entire place,4.775,https://www.airbnb.com/rooms/52019592,37.0
"Karachi, Sindh, Pakistan",No,24.79813,67.06801,1 Bed Furnished Dha Phase 6 Karachi,1.0,$21,USD,nightly,,Umar,1.0,https://www.airbnb.com/users/show/340628953,340628953.0,Joined in March 2020,https://a0.muscache.com/im/pictures/user/a930a0b0-75bf-4772-816a-89b53a87a3c7.jpg?aki_policy=profile_large,1.0,within an hour,Umar,Private room,4.775,https://www.airbnb.com/rooms/42770982,21.0
"Lahore, Punjab, Pakistan",No,31.362,74.186,1 Bed Luxury Apartment Roadside,3.0,$37,USD,nightly,,Muhammad,1.0,https://www.airbnb.com/users/show/255755258,255755258.0,Joined in April 2019,https://a0.muscache.com/im/pictures/user/46fe1e32-986d-407f-9ec0-e1c0f1d363c0.jpg?aki_policy=profile_large,0.33,a few days or more,Muhammad,Entire place,4.775,https://www.airbnb.com/rooms/49846349,37.0
"Islamabad, Islamabad Capital Territory, Pakistan",No,33.70007,72.96707,1 bed luxury appartment,3.0,$57,USD,nightly,Identity verified,Subtain,1.0,https://www.airbnb.com/users/show/378195307,378195307.0,Joined in December 2020,https://a0.muscache.com/im/pictures/user/310c86ce-2765-4a9b-9a88-b3380154014a.jpg?aki_policy=profile_large,,,Subtain,Private room,4.775,https://www.airbnb.com/rooms/46804132,57.0
"Islamabad, Islamabad Capital Territory, Pakistan",No,33.69475,72.98447,1 bed mountain View,3.0,$21,USD,nightly,37 Reviews,Owais Ahmad,1.0,https://www.airbnb.com/users/show/380408330,380408330.0,Joined in December 2020,https://a0.muscache.com/im/pictures/user/f93b872b-d273-4eec-95e7-f0bd9876ba79.jpg?aki_policy=profile_large,0.6,within a few hours,Owais Ahmad,Entire place,4.38,https://www.airbnb.com/rooms/48346573,21.0
"Lahore, Punjab, Pakistan",No,31.44435,74.28337,1 Bed New Studio Apartment near Shaukat Khanum,2.0,$17,USD,nightly,171 Reviews,Saqib,1.0,https://www.airbnb.com/users/show/40666245,40666245.0,Joined in August 2015,https://a0.muscache.com/im/pictures/user/9fae2040-9168-4aab-b254-ab2fa9af0ec0.jpg?aki_policy=profile_large,1.0,within an hour,Saqib,Entire place,4.69,https://www.airbnb.com/rooms/44354153,17.0
"Karachi, Sindh, Pakistan",No,24.8132,67.02347,1 Bed Room in Clifton nearby beach and malls,2.0,$51,USD,nightly,Identity verified,Maisam,1.0,https://www.airbnb.com/users/show/242620807,242620807.0,Joined in February 2019,https://a0.muscache.com/im/pictures/user/acafbf3d-02a9-4e78-a5ec-ad0c7edfb05c.jpg?aki_policy=profile_large,0.0,a few days or more,Maisam,Private room,4.775,https://www.airbnb.com/rooms/35500368,51.0
"Islamabad, Islamabad Capital Territory, Pakistan",No,33.69425,72.97944,1 bed room luxury apartment,2.0,$57,USD,nightly,Identity verified,Bilal,1.0,https://www.airbnb.com/users/show/397490901,397490901.0,Joined in April 2021,https://a0.muscache.com/im/pictures/user/6c113501-d3aa-46b4-9a8e-d91454fb667a.jpg?aki_policy=profile_large,0.0,a few days or more,Bilal,Entire place,4.775,https://www.airbnb.com/rooms/50928239,57.0
"Lahore, Punjab, Pakistan",No,31.38092,74.17414,1 bed room studio apartment with free parking,4.0,$26,USD,nightly,Identity verified,Sherz,1.0,https://www.airbnb.com/users/show/397455287,397455287.0,Joined in April 2021,https://a0.muscache.com/im/pictures/user/d51c5945-4ba1-4502-b7de-b79921a03238.jpg?aki_policy=profile_large,,,Sherz,Entire place,4.775,https://www.airbnb.com/rooms/51466548,26.0
"Lahore, Punjab, Pakistan",No,31.37015,74.1737,1 Bedroom air conditioned comfy & relaxing,2.0,$25,USD,nightly,3 Reviews,Timna,1.0,https://www.airbnb.com/users/show/385218844,385218844.0,Joined in January 2021,https://a0.muscache.com/im/pictures/user/66d094b8-38a0-4dd9-91e9-dc477d1c9ecc.jpg?aki_policy=profile_large,,,Timna,Private room ,5.0,https://www.airbnb.com/rooms/47794007,25.0
"Lahore, Punjab, Pakistan",No,31.37655,74.1886,1 Bedroom Apartment Designer Furnished DIAMOUNT-02,2.0,$49,USD,nightly,61 Reviews,Babar,1.0,https://www.airbnb.com/users/show/318453240,318453240.0,Joined in December 2019,https://a0.muscache.com/im/pictures/user/d82be2af-c7cb-4e53-9c50-ecf88aa48cb6.jpg?aki_policy=profile_large,0.81,within a few hours,Babar,Entire place,4.775,https://www.airbnb.com/rooms/52160313,49.0
"Lahore, Punjab, Pakistan",No,31.37573,74.1881,1 Bedroom Apartment Designer Furnished DIAMOUNT-03,2.0,$49,USD,nightly,61 Reviews,Babar,1.0,https://www.airbnb.com/users/show/318453240,318453240.0,Joined in December 2019,https://a0.muscache.com/im/pictures/user/d82be2af-c7cb-4e53-9c50-ecf88aa48cb6.jpg?aki_policy=profile_large,0.81,within a few hours,Babar,Entire place,5.0,https://www.airbnb.com/rooms/52160537,49.0
"Lahore, Punjab, Pakistan",No,31.37552,74.18796,1 Bedroom Apartment Designer Furnished DIAMOUNT-09,2.0,$49,USD,nightly,61 Reviews,Babar,1.0,https://www.airbnb.com/users/show/318453240,318453240.0,Joined in December 2019,https://a0.muscache.com/im/pictures/user/d82be2af-c7cb-4e53-9c50-ecf88aa48cb6.jpg?aki_policy=profile_large,0.81,within a few hours,Babar,Entire place,5.0,https://www.airbnb.com/rooms/52166764,49.0
"Lahore, Punjab, Pakistan",No,31.37729,74.18922,1 Bedroom Apartment Designer Furnished DIAMOUNT-10,2.0,$49,USD,nightly,61 Reviews,Babar,1.0,https://www.airbnb.com/users/show/318453240,318453240.0,Joined in December 2019,https://a0.muscache.com/im/pictures/user/d82be2af-c7cb-4e53-9c50-ecf88aa48cb6.jpg?aki_policy=profile_large,0.81,within a few hours,Babar,Entire place,4.775,https://www.airbnb.com/rooms/52166894,49.0
"Karachi, Sindh, Pakistan",No,24.80179,67.04686,1 bedroom Apartment with free parking.,2.0,$29,USD,nightly,Identity verified,Rehan,1.0,https://www.airbnb.com/users/show/430418164,430418164.0,Joined in November 2021,https://a0.muscache.com/im/pictures/user/a902fc47-af20-4948-8bcd-f28cd96933fb.jpg?aki_policy=profile_large,0.0,a few days or more,Rehan,Private room,4.775,https://www.airbnb.com/rooms/53169801,29.0
"Lahore, Punjab, Pakistan",No,31.3653,74.187,"1 Bedroom Apartment, Bahria Town Lahore DIAMOUNT01",2.0,$49,USD,nightly,61 Reviews,Babar,1.0,https://www.airbnb.com/users/show/318453240,318453240.0,Joined in December 2019,https://a0.muscache.com/im/pictures/user/d82be2af-c7cb-4e53-9c50-ecf88aa48cb6.jpg?aki_policy=profile_large,0.81,within a few hours,Babar,Entire place,4.775,https://www.airbnb.com/rooms/52159407,49.0
"Lahore, Punjab, Pakistan",No,31.5199,74.37405,"1 Bedroom in Cantt, near airport. Safe location.",3.0,$23,USD,nightly,,Nofil,1.0,https://www.airbnb.com/users/show/293783226,293783226.0,Joined in September 2019,https://a0.muscache.com/im/pictures/user/19a1fde1-943d-4580-a981-5a6f7399c7c2.jpg?aki_policy=profile_large,,,Nofil,Private room ,4.775,https://www.airbnb.com/rooms/38521340,23.0
"Karachi, Sindh, Pakistan",No,24.80464,67.03098,1 BEDROOM LUXE SUITE W/ KITCHEN / LOUNGE / DINING,2.0,$56,USD,nightly,38 Reviews,Amir,1.0,https://www.airbnb.com/users/show/77968852,77968852.0,Joined in June 2016,https://a0.muscache.com/im/pictures/user/137f5220-65c3-4119-a27f-ebd5b9592558.jpg?aki_policy=profile_large,0.97,within an hour,Amir,Entire place,5.0,https://www.airbnb.com/rooms/41829840,56.0
"Lahore, Punjab, Pakistan",No,31.46891,74.41942,"1 Bedroom near Lums, in a family home.",2.0,$19,USD,nightly,4 Reviews,Rbea,1.0,https://www.airbnb.com/users/show/340744220,340744220.0,Joined in March 2020,https://a0.muscache.com/im/pictures/user/2f10a663-f465-4953-b442-20f183121621.jpg?aki_policy=profile_large,0.9,within a few hours,Rbea,Private room ,4.67,https://www.airbnb.com/rooms/42822081,19.0
"Lahore, Punjab, Pakistan",No,31.439,74.27,1 Bedroom neat Home with all basic facilities,3.0,$26,USD,nightly,1 Review,Sajawal,1.0,https://www.airbnb.com/users/show/145828530,145828530.0,Joined in August 2017,https://a0.muscache.com/im/pictures/user/ed36aa51-945a-471a-942d-fa5a5ba05c94.jpg?aki_policy=profile_large,0.0,a few days or more,Sajawal,Private room ,4.775,https://www.airbnb.com/rooms/52316629,26.0
"Karachi, Sindh, Pakistan",No,24.8024,67.07647,1 bedroom unit with bathroom,4.0,$34,USD,nightly,,Kamran,1.0,https://www.airbnb.com/users/show/176925421,176925421.0,Joined in March 2018,https://a0.muscache.com/im/pictures/user/b570dbf7-fdda-43a1-844d-47032035568e.jpg?aki_policy=profile_large,,,Kamran,Private room,4.775,https://www.airbnb.com/rooms/53879760,34.0
"Lahore, Punjab, Pakistan",No,31.37279,74.16447,"1 Bedroom With LOunge, Lavish Apartment",4.0,$37,USD,nightly,Identity verified,Asif,1.0,https://www.airbnb.com/users/show/378083802,378083802.0,Joined in December 2020,https://a0.muscache.com/im/pictures/user/de2b4e4c-7f45-4545-ae7d-bc32ee3acf0a.jpg?aki_policy=profile_large,0.89,within a few hours,Asif,Entire place,4.775,https://www.airbnb.com/rooms/46851624,37.0
"Rawalpindi, Punjab, Pakistan",No,33.56548,73.11789,"1 Bedroom, 850 square feet Luxury Apartment.",2.0,$56,USD,nightly,3 Reviews,Abid,1.0,https://www.airbnb.com/users/show/431552845,431552845.0,Joined in November 2021,https://a0.muscache.com/im/pictures/user/b46fdf6f-634f-4221-a921-3525ab042acd.jpg?aki_policy=profile_large,,,Abid,Entire place,4.775,https://www.airbnb.com/rooms/53306191,56.0
"Lahore, Punjab, Pakistan",No,31.47505,74.41056,1 comfortable bedroom available.,2.0,$40,USD,nightly,1 Review,Iqra,1.0,https://www.airbnb.com/users/show/394415377,394415377.0,Joined in March 2021,https://a0.muscache.com/im/pictures/user/6fbff5ce-ec02-449a-bb63-86e4d59b39da.jpg?aki_policy=profile_large,0.5,within a day,Iqra,Private room ,4.775,https://www.airbnb.com/rooms/49810349,40.0
"Lahore, Punjab, Pakistan",Yes,31.47186,74.22937,1 Private Bed  100% Secured  Couples Allowed,2.0,$11,USD,nightly,28 Reviews,Razia,1.0,https://www.airbnb.com/users/show/439666682,439666682.0,Joined in January 2022,https://a0.muscache.com/im/pictures/user/e7d987b8-b7c1-4724-ab75-c72c6ab30339.jpg?aki_policy=profile_large,1.0,within an hour,Razia,Private room ,5.0,https://www.airbnb.com/rooms/54224294,11.0
"Karachi, Sindh, Pakistan",No,24.78238,67.05612,1 private room available with dedicated workspace and wifi,2.0,$30,USD,nightly,1 Review,Haider Ali,1.0,https://www.airbnb.com/users/show/369565518,369565518.0,Joined in September 2020,https://a0.muscache.com/defaults/user_pic-640x640.png?v=3,,,Haider Ali,Private room,4.775,https://www.airbnb.com/rooms/51084576,30.0
"Lahore, Punjab, Pakistan",No,31.60831,74.31614,1 private room for family with wifi,2.0,$18,USD,nightly,7 Reviews,Afzal,1.0,https://www.airbnb.com/users/show/324202951,324202951.0,Joined in January 2020,https://a0.muscache.com/im/pictures/user/767dbc29-cb0a-4510-a57a-b7119a3c5c87.jpg?aki_policy=profile_large,,,Afzal,Private room ,5.0,https://www.airbnb.com/rooms/41278977,18.0
"Karachi, Sindh, Pakistan",No,24.779,67.08031,1 Private Room with all utilities.,1.0,$29,USD,nightly,,Rauf,1.0,https://www.airbnb.com/users/show/213063716,213063716.0,Joined in September 2018,https://a0.muscache.com/im/pictures/user/ad0a2a30-b523-429c-a665-aaa54d748380.jpg?aki_policy=profile_large,,,Rauf,Private room,4.775,https://www.airbnb.com/rooms/50510143,29.0
"Lahore, Punjab, Pakistan",No,31.49179,74.41573,1-Bed Casa,2.0,$46,USD,nightly,Identity verified,Omer,1.0,https://www.airbnb.com/users/show/387034133,387034133.0,Joined in February 2021,https://a0.muscache.com/im/pictures/user/a1806903-3a43-470e-84ba-150526abe311.jpg?aki_policy=profile_large,,,Omer,Private room ,4.775,https://www.airbnb.com/rooms/52959754,46.0
"Islamabad, Islamabad Capital Territory, Pakistan",No,33.49117,73.09608,1-Bed stylish apartment in bahria heights.,3.0,$37,USD,nightly,273 Reviews,Ahmed,1.0,https://www.airbnb.com/users/show/149923184,149923184.0,Joined in September 2017,https://a0.muscache.com/im/pictures/user/1f7ddc47-fbac-49e6-88f0-8bf53269cada.jpg?aki_policy=profile_large,1.0,within an hour,Ahmed,Entire place,4.25,https://www.airbnb.com/rooms/48499530,37.0
"Karachi, Sindh, Pakistan",No,24.82852,67.03919,1-bedroom flat on Ground Floor with Free parking,2.0,$51,USD,nightly,Identity verified,Hazim,1.0,https://www.airbnb.com/users/show/310941528,310941528.0,Joined in November 2019,https://a0.muscache.com/im/pictures/user/fa70eecd-448c-4c9b-8aa2-799d0ee60805.jpg?aki_policy=profile_large,,,Hazim,Entire place,4.775,https://www.airbnb.com/rooms/53073604,51.0
"Lahore, Punjab, Pakistan",No,31.39525,74.2299,1-Bedroom Private room with air conditioning.,2.0,$22,USD,nightly,15 Reviews,Mateen,1.0,https://www.airbnb.com/users/show/261293373,261293373.0,Joined in May 2019,https://a0.muscache.com/im/pictures/user/8bfdbcd3-3330-4b3f-bd20-77115386e7a0.jpg?aki_policy=profile_large,1.0,within a few hours,Mateen,Private room ,5.0,https://www.airbnb.com/rooms/51185575,22.0
"Karachi, Sindh, Pakistan",No,25.01063,67.13317,1-bedroom with attach bath.24/7 Fresh Water Supply,2.0,$11,USD,nightly,Identity verified,Syed Sajjad,1.0,https://www.airbnb.com/users/show/434631295,434631295.0,Joined in December 2021,https://a0.muscache.com/im/pictures/user/f266132f-a235-4bf5-8696-cd025a3509d3.jpg?aki_policy=profile_large,0.91,within a day,Syed Sajjad,Private room,4.775,https://www.airbnb.com/rooms/53669621,11.0
"Lahore, Punjab, Pakistan",No,31.38663,74.19511,"1-Bedroom with Attached Bath, Kitchen, Free And Safe Parking",2.0,$21,USD,nightly,Identity verified,Bakir,1.0,https://www.airbnb.com/users/show/321884813,321884813.0,Joined in December 2019,https://a0.muscache.com/im/pictures/user/06db9a0e-14ab-46e1-b166-bf855db49c31.jpg?aki_policy=profile_large,,,Bakir,Private room ,4.775,https://www.airbnb.com/rooms/51490579,21.0
"Karachi, Sindh, Pakistan",No,24.86306,67.14897,10 mint drive through airport,4.0,$29,USD,nightly,Identity verified,Fabiha,1.0,https://www.airbnb.com/users/show/398312754,398312754.0,Joined in April 2021,https://a0.muscache.com/im/pictures/user/a42a45f7-7b93-47c4-9079-a281a8587770.jpg?aki_policy=profile_large,0.0,a few days or more,Fabiha,Private room,4.775,https://www.airbnb.com/rooms/49383618,29.0
"Lahore, Punjab, Pakistan",Yes,31.37405,74.16468,101-Lovely 1 Bedroom Apartment with Hot Shower,3.0,$40,USD,nightly,36 Reviews,Kamran,1.0,https://www.airbnb.com/users/show/236469852,236469852.0,Joined in January 2019,https://a0.muscache.com/im/pictures/user/11a2c141-7364-46f6-abb4-90772fb65e0c.jpg?aki_policy=profile_large,1.0,within an hour,Kamran,Entire place,4.92,https://www.airbnb.com/rooms/52376560,40.0
"Rawalpindi, Punjab, Pakistan",Yes,33.55837,73.13286,"102 Contemporary Opal Private Room, at Bahria Town",2.0,$26,USD,nightly,70 Reviews,Imran,1.0,https://www.airbnb.com/users/show/262015119,262015119.0,Joined in May 2019,https://a0.muscache.com/im/pictures/user/aff8944b-2e3e-4afa-b5dd-3bbe0bbc0e5d.jpg?aki_policy=profile_large,1.0,within an hour,Imran,Private room,4.71,https://www.airbnb.com/rooms/51232806,26.0
"Lahore, Punjab, Pakistan",No,31.4701,74.23877,10th Avenue (Family Room),2.0,$40,USD,nightly,,Azfand,1.0,https://www.airbnb.com/users/show/217225166,217225166.0,Joined in September 2018,https://a0.muscache.com/im/pictures/user/0ff8d959-6710-4a69-8f6a-1a43e5de5191.jpg?aki_policy=profile_large,,,Azfand,Private room ,4.775,https://www.airbnb.com/rooms/42217616,40.0
"Lahore, Punjab, Pakistan",No,31.47,74.238,12th Avenue,16.0,$40,USD,nightly,2 Reviews,12th Avenue,1.0,https://www.airbnb.com/users/show/335345797,335345797.0,Joined in February 2020,https://a0.muscache.com/im/pictures/user/bbf5720e-8e52-4001-a13a-3769259a18a8.jpg?aki_policy=profile_large,1.0,within a day,12th Avenue,Private room ,4.775,https://www.airbnb.com/rooms/43453136,40.0
"Lahore, Punjab, Pakistan",No,31.45239,74.4444,15 Minutes Away from DHA Lahore & Lahore Airport,2.0,$57,USD,nightly,,Farrukh,1.0,https://www.airbnb.com/users/show/56489297,56489297.0,Joined in January 2016,https://a0.muscache.com/im/pictures/user/3f9d3678-9ba6-4e04-ae36-a46aadee346e.jpg?aki_policy=profile_large,,,Farrukh,Private room ,4.775,https://www.airbnb.com/rooms/34250741,57.0
"Rawalpindi, Punjab, Pakistan",No,33.54927,73.13186,"1B Executive Ap. W/ Free WiFi, Netflix & Smart TV",2.0,$51,USD,nightly,41 Reviews,Hussain,1.0,https://www.airbnb.com/users/show/192236193,192236193.0,Joined in May 2018,https://a0.muscache.com/im/pictures/user/15560786-435b-4604-b595-af13c3eed88f.jpg?aki_policy=profile_large,1.0,within an hour,Hussain,Entire place,4.93,https://www.airbnb.com/rooms/40406650,51.0
"Islamabad, Islamabad Capital Territory, Pakistan",Yes,33.68206,72.98793,1BHK Cozy Compact Private Apartment,3.0,$35,USD,nightly,357 Reviews,Waleed,1.0,https://www.airbnb.com/users/show/220055353,220055353.0,Joined in October 2018,https://a0.muscache.com/im/pictures/user/16d25f98-a322-459a-bbc7-14caace0b6a8.jpg?aki_policy=profile_large,1.0,within an hour,Waleed,Entire place,4.71,https://www.airbnb.com/rooms/50545870,35.0
"Islamabad, Islamabad Capital Territory, Pakistan",Yes,33.70669,73.05031,1BHK Luxury Flat Elysium Towers,3.0,$75,USD,nightly,50 Reviews,Raja,1.0,https://www.airbnb.com/users/show/384487581,384487581.0,Joined in January 2021,https://a0.muscache.com/im/pictures/user/bdac7b8a-3368-4f12-a4f2-bbccda863f01.jpg?aki_policy=profile_large,1.0,within an hour,Raja,Entire place,4.775,https://www.airbnb.com/rooms/776625474730369300,75.0
"Rawalpindi, Punjab, Pakistan",No,33.48686,73.08641,2 Bed apartment Fully furnished,4.0,$74,USD,nightly,,Waqas,1.0,https://www.airbnb.com/users/show/372281348,372281348.0,Joined in October 2020,https://a0.muscache.com/im/pictures/user/b319ed7a-3e97-437b-90d5-8521913c2f90.jpg?aki_policy=profile_large,,,Waqas,Entire place,4.775,https://www.airbnb.com/rooms/45921278,74.0
"Karachi, Sindh, Pakistan",No,24.87058,67.02377,2 Bed Apartment! I live all alone,3.0,$57,USD,nightly,Identity verified,Junaid,1.0,https://www.airbnb.com/users/show/379404432,379404432.0,Joined in December 2020,https://a0.muscache.com/im/pictures/user/d83fabcf-be11-43e0-82e6-fd707596cee6.jpg?aki_policy=profile_large,0.0,a few days or more,Junaid,Private room,4.775,https://www.airbnb.com/rooms/46946591,57.0
"Lahore, Punjab, Pakistan",No,31.459,74.258,2 Bed Condo,4.0,$34,USD,nightly,8 Reviews,Mukarram,1.0,https://www.airbnb.com/users/show/385364577,385364577.0,Joined in January 2021,https://a0.muscache.com/im/pictures/user/1b673d3b-cdcb-478c-aa30-6b337ee3276c.jpg?aki_policy=profile_large,1.0,within an hour,Mukarram,Entire place,4.5,https://www.airbnb.com/rooms/54143551,34.0
"Rawalpindi, Punjab, Pakistan",No,33.55013,73.12282,2 bed flat available for rent bahria town phase 4,4.0,$63,USD,nightly,Identity verified,Muhammad,1.0,https://www.airbnb.com/users/show/445303487,445303487.0,Joined in February 2022,https://a0.muscache.com/im/pictures/user/a37c09b5-df73-4933-bcee-d33170f20250.jpg?aki_policy=profile_large,0.0,a few days or more,Muhammad,Private room,4.775,https://www.airbnb.com/rooms/590916741928809000,63.0
